Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5f787178ee76d0dec08a3b4b00418a8fb18e25cc7492c1decac00e8305a310d6,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
82592385c1b78436d4cd399548ec42390f947880ad7d157450c2f31e34a44a7f,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
cc0724452c38bd8fb193647eeaacde40004485532a276f4148a12946686179f4,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
db0804ac04449a1b21a89bbb6d68394753b64ad9e2b2bae97571bd832d4a8de3,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Action to be taken by another organisation
2a2562aad6ab2945f819fae6214b2d07ab91116782e6ed7506599d0e82e61f2c,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Action to be taken by another organisation
a7ebf4c1bbe61289faa4da63dd41bfb5403449cb7d7227bbb5f5f123ae86aa41,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Further investigation is not in the public interest
a10dac4d6e895503bdfd857ab1177abc6dfdb9a07e992a1580523cbbe2e2c44c,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Further investigation is not in the public interest
e3ac60afc2564b99fe92a09bc349bd6afdc7f4c32cede86964165fa57171daa0,2016-05,Staffordshire Police,Staffordshire Police,-2.186860,53.066731,On or near BURNWOOD PLACE,E01014262,Stoke-on-Trent 003B,Further investigation is not in the public interest
243456404ec318a292089c72cbf574100b6e1d5fa7bbaad9d1d97a6ea75abc1e,2016-05,Staffordshire Police,Staffordshire Police,-2.177734,53.025054,On or near BRUNSWICK STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
360d4142e54cb1baa1bdbfb2a29007d1d5d58a605a97fc5273a94c236dd81e26,2016-05,Staffordshire Police,Staffordshire Police,-2.178264,53.048694,On or near A5272,E01014266,Stoke-on-Trent 008B,Further investigation is not in the public interest
577f33a0d8d981df60c8b080cfd70e8f6abd3c3f9a36c8aa36da93e47654b378,2016-05,Staffordshire Police,Staffordshire Police,-2.183519,52.996954,On or near NICHOLLS STREET,E01014339,Stoke-on-Trent 019C,Further investigation is not in the public interest
ce890d695fde80899ee4b25558d39b083db4055fc72ceaeb44e9cf9cefacd0db,2016-05,Staffordshire Police,Staffordshire Police,-1.982143,52.987566,On or near ROBINA DRIVE,E01029783,Staffordshire Moorlands 011B,Further investigation is not in the public interest
89faeb1d7083f233b90c105c069240655da474bb2f94e1d223d20e1b2a835ee1,2016-05,Staffordshire Police,Staffordshire Police,-2.145388,52.982723,On or near GARDINER DRIVE,E01014311,Stoke-on-Trent 027C,Further investigation is not in the public interest
